INSTAL_COD,INSTAL_NOM,INSTAL_N_1,ETAB_CODE,ETAB_NOM,ETAB_NOM_A,RSS_CODE,RSS_NOM,ADRESSE,CASE_POST,CODE_POSTA,MUN_CODE,MUN_NOM,CLSC_CODE,CLSC_NOM,MRC_CODE,MRC_NOM,RLS_CODE,RLS_NOM,RUIS_CODE,RUIS_NOM,STATUT_COD,MD_CONS_CO,MD_FINAN_C,DESIGN_MIN,INSTANCE,DATE_INCOR,DATE_OUVER,LONGITUDE,LATITUDE,CHPSY,CHSGS,CHSLD,CLSC,CPEJ,CRDITED,CRDPA,CRDPM,CRDPV,CRDPL,CRJDA,CRMDA,CRD,DATE_MAJ
"51218790","CLSC ET CENTRE DE SERVICES EXTERNES POUR LES AÎNÉS DE LAURIER-STATION","CLSC ET CENTRE SERV. EXT. POUR LES AÎNÉS DE LAURIER-STA","11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","135, rue de la Station"," ","G0S1N0","33060","Laurier-Station","12111","Lotbinière","330","Lotbinière","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-08-16",-71.62969970703125,46.53990173339844,"Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218808","CHSLD ET CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME DE SAINT-APOLLINAIRE","CHSLD ET CRDI-TSA DE SAINT-APOLLINAIRE","11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","12, rue Industrielle"," ","G0S2E0","33090","Saint-Apollinaire","12111","Lotbinière","330","Lotbinière","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-08-16",-71.50990295410156,46.61640167236328,"Non","Non","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218816","CHSLD DE SAINT-SYLVESTRE","CHSLD DE SAINT-SYLVESTRE","11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","828, rue Principale"," ","G0S3C0","33007","Saint-Sylvestre","12111","Lotbinière","330","Lotbinière","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-08-16",-71.22940063476562,46.36309814453125,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218824","CLSC DES PATRIOTES","CLSC DES PATRIOTES","11045309","Centre intégré de santé et de services sociaux de la Montérégie-Est","CISSS de la Montérégie-Est","16","Montérégie","300, rue Serge-Pépin"," ","J3G0B8","57040","Beloeil","16221","Saint-Bruno - Beloeil - Saint-Hilaire","570","La Vallée-du-Richelieu","1622","RLS de Richelieu-Yamaska","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1996-08-28",-73.19989776611328,45.590999603271484,"Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218832","CENTRE D'HÉBERGEMENT ANDRÉE-PERRAULT","CENTRE D'HÉBERGEMENT ANDRÉE-PERRAULT","11045309","Centre intégré de santé et de services sociaux de la Montérégie-Est","CISSS de la Montérégie-Est","16","Montérégie","1955, avenue Pratte"," ","J2S7W5","54048","Saint-Hyacinthe","16222","Les Maskoutains","540","Les Maskoutains","1622","RLS de Richelieu-Yamaska","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1996-08-28",-72.94519805908203,45.63290023803711,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218857","CHSLD DE VILLE-MARIE","CHSLD DE VILLE-MARIE","11045226","Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue","CISSS de l'Abitibi-Témiscamingue","08","Abitibi-Témiscamingue","37, rue Saint-Jean-Baptiste Sud"," ","J9V2A9","85025","Ville-Marie","08151","Ville-Marie","850","Témiscamingue","0815","RLS du Témiscaming","3","RUISSS Université McGill","1","2","1","0","N"," ","1996-09-01",-79.43789672851562,47.32699966430664,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218865","CLSC DE SAINT-LAZARE-DE-BELLECHASSE","CLSC DE SAINT-LAZARE-DE-BELLECHASSE","11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","100-A, rue Monseigneur-Bilodeau"," ","G0R3J0","19050","Saint-Lazare-de-Bellechasse","12114","Bellechasse","190","Bellechasse","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-08-29",-70.81120300292969,46.65769958496094,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218873","CHSLD ET CLSC DE SAINT-GERVAIS","CHSLD ET CLSC DE SAINT-GERVAIS","11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","70, rue Saint-Étienne"," ","G0R3C0","19075","Saint-Gervais","12114","Bellechasse","190","Bellechasse","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-08-29",-70.8947982788086,46.712398529052734,"Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218881","CHSLD DE SAINT-RAPHAËL","CHSLD DE SAINT-RAPHAËL","11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","84, rue du Foyer"," ","G0R4C0","19082","Saint-Raphaël","12114","Bellechasse","190","Bellechasse","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-08-29",-70.75170135498047,46.792701721191406,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218907","CHSLD ET CLSC DE SAINT-ANSELME","CHSLD ET CLSC DE SAINT-ANSELME","11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","40, chemin Saint-Marc"," ","G0R2N0","19062","Saint-Anselme","12114","Bellechasse","190","Bellechasse","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-08-29",-70.9717025756836,46.62969970703125,"Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218915","CHSLD DE SAINTE-CLAIRE","CHSLD DE SAINTE-CLAIRE","11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","80, boulevard Bégin"," ","G0R2V0","19055","Sainte-Claire","12114","Bellechasse","190","Bellechasse","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-08-29",-70.87129974365234,46.59989929199219,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218923","FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION LENNOX","FOYER DE GROUPE POUR JDA LENNOX","11045267","Centre intégré de santé et de services sociaux de Laval","CISSS de Laval","13","Laval","1445, rue Lennox"," ","H7W2Y4","65005","Laval","13114","Chomedey","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-12-14",-73.75800323486328,45.54690170288086,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51218931","FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE HONFLEUR","FOYER DE GROUPE POUR JDA DE HONFLEUR","11045267","Centre intégré de santé et de services sociaux de Laval","CISSS de Laval","13","Laval","2405, rue de Honfleur"," ","H7E1Y2","65005","Laval","13112","Duvernay","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1995-12-14",-73.67669677734375,45.5890007019043,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2026-03-23"
"51218956","CENTRE D'HÉBERGEMENT DE SAINT-EUSÈBE","CENTRE D'HÉBERGEMENT DE SAINT-EUSÈBE","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","435, rue Saint-Jacques Est"," ","G6L5C5","32033","Princeville","04182","De l'Érable","320","L'Érable","0418","RLS d’Arthabaska-et-de-L’Érable","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1996-09-15",-71.86930084228516,46.177799224853516,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218964","CENTRE D'HÉBERGEMENT DE LYSTER","CENTRE D'HÉBERGEMENT DE LYSTER","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","2180, rue Bécancour"," ","G0S1V0","32065","Lyster","04182","De l'Érable","320","L'Érable","0418","RLS d’Arthabaska-et-de-L’Érable","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1996-09-15",-71.62049865722656,46.37070083618164,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218972","CENTRE DE PROTECTION DE L'ENFANCE ET DE LA JEUNESSE DE BAIE-COMEAU","CPEJ DE BAIE-COMEAU","11045234","Centre intégré de santé et de services sociaux de la Côte-Nord","CISSS de la Côte-Nord","09","Côte-Nord","835, boulevard Jolliet"," ","G5C1P5","96020","Baie-Comeau","09123","Manicouagan","960","Manicouagan","0912","RLS de la Haute-Côte-Nord  - Manicouagan","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-09-15",-68.25700378417969,49.190399169921875,"Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218980","HÔPITAL DE MATANE","HÔPITAL DE MATANE","11045119","Centre intégré de santé et de services sociaux du Bas-Saint-Laurent","CISSS du Bas-Saint-Laurent","01","Bas-Saint-Laurent","333, rue Thibault"," ","G4W2W5","08053","Matane","01171","Matane","080","La Matanie","0117","RLS de Matane","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-09-11",-67.52439880371094,48.84360122680664,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51218998","CENTRE D'HÉBERGEMENT DE MATANE","CENTRE D'HÉBERGEMENT DE MATANE","11045119","Centre intégré de santé et de services sociaux du Bas-Saint-Laurent","CISSS du Bas-Saint-Laurent","01","Bas-Saint-Laurent","150, avenue Saint-Jérôme"," ","G4W3A2","08053","Matane","01171","Matane","080","La Matanie","0117","RLS de Matane","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-09-11",-67.53199768066406,48.84090042114258,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219012","CHSLD DE HAVRE-SAINT-PIERRE","CHSLD DE HAVRE-SAINT-PIERRE","11045234","Centre intégré de santé et de services sociaux de la Côte-Nord","CISSS de la Côte-Nord","09","Côte-Nord","933, rue Boréale"," ","G0G1P0","98040","Havre-Saint-Pierre","09151","Minganie","981","Minganie","0915","RLS de la Minganie","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-09-15",-63.60770034790039,50.237998962402344,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219038","CENTRE D'HÉBERGEMENT DE CHANDLER","CENTRE D'HÉBERGEMENT DE CHANDLER","11045242","Centre intégré de santé et de services sociaux de la Gaspésie","CISSS de la Gaspésie","11","Gaspésie–Îles-de-la-Madeleine","75, rue des Cèdres"," ","G0C1K0","02028","Chandler","11141","Pabok","020","Le Rocher-Percé","1114","RLS du Rocher-Percé","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-09-17",-64.67400360107422,48.3494987487793,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219046","CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG","CENTRE MULTI. SSS DE MEMPHRÉMAGOG","11045150","Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke","CIUSSS de l'Estrie – CHUS","05","Estrie","50, rue Saint-Patrice Est"," ","J1X3X3","45072","Magog","05131","Memphrémagog","450","Memphrémagog","0513","RLS de Memphrémagog","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1996-09-17",-72.14510345458984,45.265098571777344,"Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219103","CENTRE DE PROTECTION DE L'ENFANCE ET DE LA JEUNESSE MONT-D'YOUVILLE","CPEJ MONT-D'YOUVILLE","11045135","Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale","CIUSSS de la Capitale-Nationale","03","Capitale-Nationale","2915, avenue du Bourg-Royal"," ","G1C3S2","23027","Québec","03133","Beauport","230","Québec","0313","RLS de Québec-Nord","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-09-18",-71.21980285644531,46.85660171508789,"Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219152","CENTRE D'HÉBERGEMENT ET DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME LAFLÈCHE","CHSLD ET CRDI-TSA LAFLÈCHE","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","1650, avenue de Grand-Mère"," ","G9T2K4","36033","Shawinigan","04141","Centre-de-la-Mauricie","360","Shawinigan","0414","RLS du Centre-de-la-Mauricie","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1996-09-17",-72.7073974609375,46.60639953613281,"Non","Non","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219160","CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORTIERVILLE","CENTRE MULTI. SSS DE FORTIERVILLE","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","216, rue Principale"," ","G0S1J0","38047","Fortierville","04162","Bécancour","380","Bécancour","0416","RLS de Bécancour–Nicolet-Yamaska","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1996-09-17",-72.03040313720703,46.48640060424805,"Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219186","INSTITUT DE RÉADAPTATION EN DÉFICIENCE PHYSIQUE DE QUÉBEC","INSTITUT DE RÉADAPTATION EN DÉFICIENCE PHYSIQUE DE QUÉB","11045135","Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale","CIUSSS de la Capitale-Nationale","03","Capitale-Nationale","525, boulevard Wilfrid-Hamel"," ","G1M2S8","23027","Québec","03126","Limoilou-Vanier","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-10-01",-71.24600219726562,46.819801330566406,"Non","Non","Non","Non","Non","Non","Oui","Oui","Oui","Non","Non","Non","Non","2026-03-23"
"51219202","INSTITUT DE RÉADAPTATION EN DÉFICIENCE PHYSIQUE SAINT-LOUIS","INSTITUT DE RÉADAPTATION EN DÉFICIENCE PHYSIQUE SAINT-L","11045135","Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale","CIUSSS de la Capitale-Nationale","03","Capitale-Nationale","2975, chemin Saint-Louis"," ","G1W1P9","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-10-01",-71.28569793701172,46.759498596191406,"Non","Non","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Non","Non","Non","2026-03-23"
"51219228","HÔTEL-DIEU DE MONTRÉAL","HÔTEL-DIEU DE MONTRÉAL","11045184","Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal","CIUSSS du Centre-Sud-de-l'Île-de-Montréal","06","Montréal","3840, rue Saint-Urbain"," ","H2W1T8","66023","Montréal","06321","Saint-Louis-du-Parc","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1996-10-01",-73.5781021118164,45.51390075683594,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219251","CLSC DE WEEDON","CLSC DE WEEDON","11045150","Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke","CIUSSS de l'Estrie – CHUS","05","Estrie","460, 2e Avenue"," ","J0B3J0","41098","Weedon","05181","Haut-Saint-François","410","Le Haut-Saint-François","0518","RLS du Haut-Saint-François","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1996-10-01",-71.46199798583984,45.705501556396484,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219269","CENTRE DE SERVICES POUR LES AÎNÉS DE SAINT-LAMBERT","CENTRE DE SERVICE POUR LES AÎNÉS DE SAINT-LAMBERT","11045291","Centre intégré de santé et de services sociaux de la Montérégie-Centre","CISSS de la Montérégie-Centre","16","Montérégie","831, avenue Notre-Dame"," ","J4R1S1","58012","Saint-Lambert","16111","Brossard - Saint-Lambert","580","Longueuil","1611","RLS de Champlain","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1996-10-01",-73.50360107421875,45.49829864501953,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219277","CHSLD CHAMPLAIN","CHSLD CHAMPLAIN","11045291","Centre intégré de santé et de services sociaux de la Montérégie-Centre","CISSS de la Montérégie-Centre","16","Montérégie","5050, place Nogent"," ","J4Y2K3","58007","Brossard","16111","Brossard - Saint-Lambert","580","Longueuil","1611","RLS de Champlain","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1996-10-01",-73.45320129394531,45.44729995727539,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219285","CHSLD HENRIETTE-CÉRÉ","CHSLD HENRIETTE-CÉRÉ","11045291","Centre intégré de santé et de services sociaux de la Montérégie-Centre","CISSS de la Montérégie-Centre","16","Montérégie","6435, chemin de Chambly"," ","J3Y3R6","58227","Longueuil","16112","Saint-Hubert","580","Longueuil","1611","RLS de Champlain","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1996-10-01",-73.40399932861328,45.49660110473633,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219319","CLSC DE RICHMOND","CLSC DE RICHMOND","11045150","Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke","CIUSSS de l'Estrie – CHUS","05","Estrie","110, rue Barlow"," ","J0B2H0","42098","Richmond","05161","Val Saint-François","420","Le Val-Saint-François","0516","RLS de Val Saint-François","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1996-10-01",-72.14009857177734,45.66019821166992,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219327","CHSLD SAINT-JOSEPH","CHSLD SAINT-JOSEPH","13818596","Centre de santé et de services sociaux - Institut universitaire de gériatrie de Sherbrooke","CSSS- Institut universitaire de gériatrie de Sherbrooke","05","Estrie","611, boulevard Queen-Victoria"," ","J1H3R6","43027","Sherbrooke","05151","Sherbrooke","430","Sherbrooke","0515","RLS de Sherbrooke","4","RUISSS Université de Sherbrooke","1","2","1","9","O","2007-04-02","1996-10-01",-71.90280151367188,45.40810012817383,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219384","HÔPITAL DE DOLBEAU-MISTASSINI","HÔPITAL DE DOLBEAU-MISTASSINI","11045127","Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean","CIUSSS du Saguenay – Lac-Saint-Jean","02","Saguenay–Lac-Saint-Jean","2000, boulevard Sacré-Coeur"," ","G8L2R5","92022","Dolbeau-Mistassini","02121","Maria-Chapdelaine","920","Maria-Chapdelaine","0212","RLS de Maria-Chapdelaine","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-10-07",-72.2394027709961,48.885799407958984,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219392","CLSC LES JARDINS DU MONASTÈRE","CLSC LES JARDINS DU MONASTÈRE","11045127","Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean","CIUSSS du Saguenay – Lac-Saint-Jean","02","Saguenay–Lac-Saint-Jean","201, boulevard des Pères"," ","G8L5K6","92022","Dolbeau-Mistassini","02121","Maria-Chapdelaine","920","Maria-Chapdelaine","0212","RLS de Maria-Chapdelaine","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-10-07",-72.2261962890625,48.890499114990234,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219400","HÔPITAL D'ALMA","HÔPITAL D'ALMA","11045127","Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean","CIUSSS du Saguenay – Lac-Saint-Jean","02","Saguenay–Lac-Saint-Jean","300, boulevard Champlain Sud"," ","G8B5W3","93042","Alma","02131","Lac-Saint-Jean-Est","930","Lac-Saint-Jean-Est","0213","RLS de Lac-Saint-Jean-Est","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-10-08",-71.66510009765625,48.55059814453125,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219418","CLSC DE POHÉNÉGAMOOK","CLSC DE POHÉNÉGAMOOK","11045119","Centre intégré de santé et de services sociaux du Bas-Saint-Laurent","CISSS du Bas-Saint-Laurent","01","Bas-Saint-Laurent","1922, rue Saint-Vallier"," ","G0L1J0","13095","Pohénégamook","01131","Témiscouata","130","Témiscouata","0113","RLS de Témiscouata","1","RUISSS Université Laval","1","2","1","0","N"," ","1996-10-15",-69.28130340576172,47.48979949951172,"Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219459","HÔPITAL ET CHSLD DU PONTIAC","HÔPITAL ET CHSLD DU PONTIAC","11045218","Centre intégré de santé et de services sociaux de l'Outaouais","CISSS de l'Outaouais","07","Outaouais","200, rue Argue","Case postale 280","J0X2Y0","84010","Shawville","07111","Pontiac","840","Pontiac","0711","RLS du Pontiac","3","RUISSS Université McGill","1","2","1","0","N"," ","1996-10-25",-76.48400115966797,45.60599899291992,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219467","CLSC DE SHAWVILLE","CLSC DE SHAWVILLE","11045218","Centre intégré de santé et de services sociaux de l'Outaouais","CISSS de l'Outaouais","07","Outaouais","290, rue Marion","Case postale 2001","J0X2Y0","84010","Shawville","07111","Pontiac","840","Pontiac","0711","RLS du Pontiac","3","RUISSS Université McGill","1","2","1","0","N"," ","1996-10-25",-76.48650360107422,45.60580062866211,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219483","CENTRE D'HÉBERGEMENT DE MANSFIELD-ET-PONTEFRACT","CHSLD DE MANSFIELD-ET-PONTEFRACT","11045218","Centre intégré de santé et de services sociaux de l'Outaouais","CISSS de l'Outaouais","07","Outaouais","230, chemin de la Chute","Case postale 610","J0X1R0","84065","Mansfield-et-Pontefract","07111","Pontiac","840","Pontiac","0711","RLS du Pontiac","3","RUISSS Université McGill","1","2","1","0","N"," ","1996-10-25",-76.7219009399414,45.85390090942383,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219491","CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION","CLSC ET CHSLD DE LA PETITE-NATION","11045218","Centre intégré de santé et de services sociaux de l'Outaouais","CISSS de l'Outaouais","07","Outaouais","14, rue Saint-André"," ","J0V1W0","80027","Saint-André-Avellin","07152","Petite-Nation","800","Papineau","0715","RLS de la Vallée-de-la-Lièvre et de la Petite-Nation","3","RUISSS Université McGill","1","2","1","0","N"," ","1996-10-25",-75.05850219726562,45.72249984741211,"Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219517","CLSC LEGUERRIER","CLSC LEGUERRIER","11045218","Centre intégré de santé et de services sociaux de l'Outaouais","CISSS de l'Outaouais","07","Outaouais","425, rue Leguerrier"," ","J9H6N8","81017","Gatineau","07141","Aylmer","810","Gatineau","0714","RLS de Grande-Rivière - Hull - Gatineau","3","RUISSS Université McGill","1","2","1","0","N"," ","1996-10-25",-75.83599853515625,45.399600982666016,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219525","CENTRE D'HÉBERGEMENT D'AYLMER","CHSLD D'AYLMER","11045218","Centre intégré de santé et de services sociaux de l'Outaouais","CISSS de l'Outaouais","07","Outaouais","445, boulevard Wilfrid-Lavigne"," ","J9H6H9","81017","Gatineau","07141","Aylmer","810","Gatineau","0714","RLS de Grande-Rivière - Hull - Gatineau","3","RUISSS Université McGill","1","2","1","0","N"," ","1996-10-25",-75.83830261230469,45.39910125732422,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2026-03-23"
"51219541","CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CLOUTIER","CENTRE MULTI. SSS CLOUTIER","11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","155, rue Toupin"," ","G8T3Z8","37067","Trois-Rivières","04152","Cap-de-la-Madeleine","371","Trois-Rivières","0415","RLS de Trois-Rivières","2","RUISSS Université de Montréal","1","2","1","0","N"," ","1996-11-01",-72.50499725341797,46.365299224853516,"Non","Oui","Oui","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Non","2026-03-23"
"51219608","CENTRE DE RÉADAPTATION EN DÉFICIENCE PHYSIQUE DE GRANBY","CRDP DE GRANBY","11045150","Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke","CIUSSS de l'Estrie – CHUS","05","Estrie","10, rue Saint-Hubert"," ","J2G5L9","47017","Granby","05121","Haute-Yamaska","470","La Haute-Yamaska","0512","RLS de la Haute-Yamaska","4","RUISSS Université de Sherbrooke","1","2","1","0","N"," ","1996-10-29",-72.73320007324219,45.4031982421875,"Non","Non","Non","Non","Non","Non","Oui","Oui","Non","Oui","Non","Non","Non","2026-03-23"
